nom,type,date_construction,siecle,pays,lat_dms,long_dms,Lat,Long
Veillane,Château,924,10,Italie,45.04508,7.23363,45.0805556,7.3933333333333335
Chinon,Château,954,10,France,47.1005,0.1410,47.15311538292504,0.25259060329858585
Esch-sur-Sûre,Château,927,10,Luxembourg,49.5440,5.5605,49.9111111,5.934722222222223
Guimaraes,Château,958,10,Portugal,41.2652,8.1726,41.4477778,-8.290555555555555
Penafiel,Château,950,10,Espagne,41.3548,4.0653,41.5966667,-4.1147222222222215
Zamora,Château,950,10,Espagne,41.2959,5.4522,41.4997222,-5.756111111111111
San Leo,Forteresse,950,10,Italie,43.5348,12.2047,43.8966667,12.346388888888889
Trencin,Château,950,11,Slovaquie,48.5339,18.0241,48.8941667,18.044722222222223
Skopje,Forteresse,950,10,Macédoine,42.0000,21.2604,42,21.434444444444445
Baba Vida,Forteresse,950,10,Bulgarie,43.5955,22.5310,43.9986111,22.88611111111111
Hohenzollern,Inconnu,1000,11,Allemagne,48.1923,8.5804,48.3230556,8.967777777777778
Marbourg,Château,1000,11,Allemagne,50.4837,8.4601,50.8102778,8.766944444444444
Nuremberg,Inconnu,1000,11,Allemagne,49.2728,11.0403,49.4577778,11.067499999999999
Bled,Inconnu,1011,11,Slovénie,46.2211,14.0602,46.3697222,14.100555555555555
Loarre,Inconnu,1020,11,Espagne,42.1932,0.3643,42.3255556,-0.6119444444444444
Souzdal,Forteresse,1024,11,Russie,56.2459,40.2635,56.4163889,40.44027777777777
Landskorn,Inconnu,1028,11,Autriche,46.3833,13.5349,46.6425,13.896944444444443
Moha,Inconnu,1031,11,Belgique,50.3307,5.1052,50.5519444,5.181111111111111
Tarasp,Château,1040,11,Suisse,46.4644,10.1542,46.7788889,10.261666666666667
Novgorod,Forteresse,1044,11,Russie,58.31155,31.1632,58.5208333,31.275555555555556
Coudenberg,Palais,1047,11,Belgique,50.5033,4.2136,50.8425,4.359999999999999
Petrae Roseti,Château,1050,11,Italie,16.3700,39.5853,16.616666666666667,39.9813889
Esztergom,Inconnu,1050,11,Hongrie,47.4708,18.4425,47.7855556,18.740277777777777
Bellinzone – Castelgrande,Château,1050,11,Suisse,46.1135,9.01207,46.1930556,9.074166666666667
