nom,lieu_actuel,date,pays,adresse,lat,long
Héraclite,Éphèse,-576,Turquie,"Éphèse, Turquie",37.9411654,27.3409867
Xénophon,Sparta-Artémis,-430,Grèce,"Sparta-Artémis, Grèce",37.074461,22.430264
Gérard d’Aboville,Paris,1945,France,"Paris, France",48.856614,2.3522219
Svetlana Aleksievitch,Ivano-Frankivsk,1948,Ukraine,"Ivano-Frankivsk, Ukraine",48.922633,24.711117
Anaxagore,Lapseki,-500,Turquie,"Lapseki , Turquie",40.345477,26.6843049
Robert Ardrey,Chicago,1908,USA,"Chicago , USA",41.8781136,-87.6297982
Hannah Arendt,Hanovre,1906,Allemagne,"Hanovre , Allemagne",52.3758916,9.732010400000002
Aristote,Stagira-Akanthos,-384,Grèce,"Stagira-Akanthos , Grèce",40.5126077,23.7870822
Michel Audiard,Paris,1920,France,"Paris, France",48.856614,2.3522219
Auguste,Rome,-63,Italie,"Rome, Italie",41.9027835,12.4963655
Marc Aurèle,Rome,121,Italie,"Rome, Italie",41.9027835,12.4963655
Alain Badiou,Rabat,1937,Maroc,"Rabat, Maroc",33.9715904,-6.8498129
Jacques Bainville,Vincennes,1879,France,"Vincennes, France",48.847759,2.4394969
Honoré de Balzac,Tours,1799,France,"Tours, France",47.394144,0.68484
Muriel Barbery,Casablanca,1969,Maroc,"Casablanca, Maroc",33.5731104,-7.589843399999999
Jules Barbey d’Aurevilly,Saint-Sauveur-le-Vicomte,1808,France,"Saint-Sauveur-le-Vicomte, France",49.386916,-1.529958
Maurice Bardèche,Dun-sur-Auron,1907,France,"Dun-sur-Auron, France",46.887605,2.572022
Olivier Bardolle,,1954,France,", France",46.227638,2.213749
Bernard Barrera,Marseille,1962,France,"Marseille, France",43.296482,5.36978
Maurice Barrès,Charmes,1862,France,"Charmes, France",48.37227799999999,6.293253
Eugénie Bastié,Toulouse,1991,France,"Toulouse, France",43.604652,1.444209
Jean Baudrillard,Reims,1929,France,"Reims, France",49.258329,4.031696
François-Xavier Bellamy,Paris,1985,France,"Paris, France",48.856614,2.3522219
Alain de Benoist,Saint-Symphorien,1943,France,"Saint-Symphorien, France",44.428094,-0.4897570000000001
Jacques Benoist-Méchin,Paris,1901,France,"Paris, France",48.856614,2.3522219
Henri Béraud,Lyon,1885,France,"Lyon , France",45.764043,4.835659
Nicolas Berdiaev,Kiev,1874,,"Kiev,",50.4501,30.5234
Jose Bergamin,Madrid,1895,Espagne,"Madrid, Espagne",40.4167754,-3.7037902
George Berkeley,Thomastown,1685,Irlande,"Thomastown, Irlande",52.5270825,-7.1388211
Emmanuel Berl,le Vésinet,1892,France,"le Vésinet , France",48.894198,2.134716
Georges Bernanos,Paris 9,1888,France,"Paris 9, France",48.8789787,2.337829
Auguste Blanqui,Paris,1805,France,"Paris, France",48.856614,2.3522219
Karen Blixen,Rungsted Kyst,1885,Danemark,"Rungsted Kyst, Danemark",55.88673319999999,12.5308197
Ivan Blot,Saint-Mandé,1948,France,"Saint-Mandé, France",48.84283199999999,2.4178639
Anne-Laure Boch,Poitiers,1966,France,"Poitiers , France",46.58022400000001,0.340375
Mathieu Bock-Côté,Lorraine,1980,Québec,"Lorraine , Québec",45.6703587,-73.7888447
Frédéric Boissonnas,Genève,1858,Suisse,"Genève, Suisse",46.2043907,6.1431577
Gwenn-Aël Bolloré,Ergué-Gabéri,1925,France,"Ergué-Gabéri, France",47.996387,-4.027388
Napoléon Bonaparte,Ajaccio,1769,France,"Ajaccio, France",41.919229,8.738635
Abel Bonnard,Poitiers,1883,France,"Poitiers , France",46.58022400000001,0.340375
Louis Alphonse de Bourbon,Madrid,1974,Espagne,"Madrid, Espagne",40.4167754,-3.7037902
Léon Bourgeois,Paris,1851,France,"Paris, France",48.856614,2.3522219
Paul Bourget,Amiens,1852,France,"Amiens , France",49.894067,2.295753
François Bousquet,Paris,1968,France,"Paris, France",48.856614,2.3522219
Pierre Boutang,Saint-Étienne,1916,France,"Saint-Étienne, France",45.439695,4.3871779
Régis Boyer,Reims,1932,France,"Reims, France",49.258329,4.031696
Rémi Brague,Paris,1947,France,"Paris, France",48.856614,2.3522219
Robert Brasillach,Perpignan,1909,France,"Perpignan, France",42.6886591,2.8948332
Fernand Braudel,Luméville-en-Ornois,1902,France,"Luméville-en-Ornois, France",48.467287,5.4295349
Jean de Brem,Paris 6,1935,France,"Paris 6, France",48.8481072,2.3279439
Patrick Buisson,Paris,1949,France,"Paris, France",48.856614,2.3522219
Edmund Burke,Dublin,1729,Irlande,"Dublin, Irlande",53.3498053,-6.2603097
Callisthène,Olynthe,-360,Grèce,"Olynthe, Grèce",40.2911675,23.3426114
Albert Camus,Mondovi,1913,Algérie,"Mondovi, Algérie",36.6865627,7.720806199999999
Renaud Camus,Chamalières,1946,France,"Chamalières, France",45.77412,3.060484
Stéphan Carbonnaux,Villiers-le-Bel,1969,France,"Villiers-le-Bel, France",49.007379,2.387981
Alexis Carrel,Sainte-Foy-lès-Lyo,1873,France,"Sainte-Foy-lès-Lyo, France",45.735237,4.804827
Thibaud Cassel,Aix-en-Provence,1990,France,"Aix-en-Provence, France",43.529742,5.447426999999999
Cornélius Castoriadis,Istanbul,1922,Turquie,"Istanbul, Turquie",41.0082376,28.9783589
Jean Cau,Bram,1925,France,"Bram , France",43.244718,2.11412
Gérard Chaliand,Etterbeek,1934,Belgique,"Etterbeek, Belgique",50.832578,4.3889939
René Char,L'Isle-sur-la-Sorgue,1907,France,"L'Isle-sur-la-Sorgue, France",43.91419,5.057106
Bernard Charbonneau,Bordeaux,1910,France,"Bordeaux, France",44.837789,-0.57918
Jacques Chardonne,Barbezieux,1884,France,"Barbezieux, France",45.471894,-0.155689
François-René de Chateaubriand,Saint-Malo,1768,France,"Saint-Malo, France",48.649337,-2.025674
Pierre Chaunu,Belleville-sur-Meuse,1923,France,"Belleville-sur-Meuse, France",49.174572,5.380236
André Chénier,Istanbul,1762,Turquie,"Istanbul, Turquie",41.0082376,28.9783589
Gilbert K. Chesterton,Londres,1874,UK,"Londres , UK",51.5073509,-0.1277583
Taras Chevtchenko,Moryntsi,1814,Ukraine,"Moryntsi , Ukraine",49.2578734,30.9981686
Cicéron,Arpino,-106,Italie,"Arpino, Italie",41.6492543,13.6246954
Emil Cioran,Rășinari,1911,Roumanie,"Rășinari, Roumanie",45.7089611,24.0650356
Jean Clair,Paris 6,1940,France,"Paris 6, France",48.8481072,2.3279439
Bernard de Clairvaux,Fontaine-lès-Dijon,1090,France,"Fontaine-lès-Dijon, France",47.34985,5.022149
Paul Claudel,illeneuve-sur-Fère,1868,France,"illeneuve-sur-Fère, France",49.177522,3.473478
Jean Cocteau,Maisons-Laffitte,1889,France,"Maisons-Laffitte, France",48.947545,2.1423899
Marcel Conche,Altillac,1922,France,"Altillac, France",44.976825,1.846139
Joseph Conrad,Berditchev,1857,Ukraine,"Berditchev, Ukraine",49.9106591,28.5900313
Philippe Conrad,Mantes-la-Jolie,1945,France,"Mantes-la-Jolie, France",48.989323,1.714958
Benjamin Constant,Lausanne,1767,Suisse,"Lausanne , Suisse",46.5196535,6.6322734
Henry Corbin,Paris,1903,France,"Paris, France",48.856614,2.3522219
Charlotte Corday,Saint-Saturnin-des-Ligneries,1768,France,"Saint-Saturnin-des-Ligneries, France",48.8765339,0.1112709
Matthew Crawford,Berkeley,1965,USA,"Berkeley , USA",37.8715226,-122.273042
Alain Daniélou,Neuilly-sur-Seine,1907,France,"Neuilly-sur-Seine, France",48.884831,2.26851
Serge de Beketch,Saint-Symphorien,1946,France,"Saint-Symphorien, France",44.428094,-0.4897570000000001
Ghislain de Diesbach,le Havre,1931,France,"le Havre, France",49.49437,0.107929
Philippe de Villiers,Essarts-en-Bocage,1949,France,"Essarts-en-Bocage, France",46.7741132,-1.2304962
Jan de Vries,Ouder-Amstel,1943,Pays Bas,"Ouder-Amstel, Pays Bas",52.28592889999999,4.9133832
Guy Debord,Paris,1931,France,"Paris, France",48.856614,2.3522219
Régis Debray,Paris,1940,France,"Paris, France",48.856614,2.3522219
Raymond Delatouche,Laval,1906,France,"Laval , France",48.0785146,-0.7669906000000001
Alain Delon,Sceaux,1935,France,"Sceaux, France",48.77801600000001,2.295092
Chantal Delsol,Paris,1947,France,"Paris, France",48.856614,2.3522219
Jean-François Deniau,Paris 15,1928,France,"Paris 15, France",48.8421297,2.2927047
Hélie Denoix de Saint Marc,Bordeaux,1922,France,"Bordeaux, France",44.837789,-0.57918
Michel Déon,Paris,1919,France,"Paris , France",48.856614,2.3522219
Slobodan Despot,Sremska Mitrovica,1967,Serbie,"Sremska Mitrovica, Serbie",44.979777,19.6102033
Jacques Dewitte,Schaerbeek,1946,Belgique,"Schaerbeek, Belgique",50.8674164,4.3772981
Philip K. Dick,Chicago,1928,USA,"Chicago , USA",41.8781136,-87.6297982
Alexandre Douguine,Moscou,1962,Russie,"Moscou, Russie",55.755826,37.6172999
Pierre Drieu la Rochelle,Paris 10,1893,France,"Paris 10, France",48.8785238,2.3541085
Georges Dumézil,Paris 12,1898,France,"Paris 12 , France",48.835194,2.4351431
Robert Dun,Marseille,1920,France,"Marseille, France",43.296482,5.36978
